stability/avg_episode_reward,time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/success_rate,stability/std_episode_reward,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/policy_gradient_loss,train/explained_variance,eval/success_rate,eval/mean_reward,train/value_loss,train/clip_range,train/clip_fraction,train/n_updates,train/loss,train/learning_rate,train/entropy_loss,train/std,train/approx_kl,eval/mean_ep_length
-11.4306269,1,50.0,32768,0.009999999776482582,4.454772499487902,583,-10.649723139999999,56,,,,,,,,,,,,,,
-10.1638014,,,50000,,2.9711280188591407,,,,-0.011981348046901985,0.03789937496185303,0.55,-37.7,2.998290816321969,0.2,0.1119384765625,4,0.6426350474357605,0.0001,-5.682933663018048,1.0028386116027832,0.0095728,50.0
-8.434465,2,50.0,65536,0.009999999776482582,2.430417179517541,503,-9.26258956,130,,,,,,,,,,,,,,
-8.191980599999999,3,50.0,98304,0.029999999329447746,1.866633696330172,514,-7.522496829999999,190,-0.01652263902451523,0.03854167461395264,,,0.8805031065130606,0.2,0.13907623291015625,8,0.31810519099235535,0.0001,-5.685644155368209,1.0023945569992065,0.011149509,
,,,100000,,,,,,-0.02091240966819896,0.09566545486450195,0.45,-16.4,0.3745287203346379,0.2,0.1794891357421875,12,0.1009284183382988,0.0001,-5.679933872073889,0.9999499320983887,0.014245526,50.0
-5.9652467,4,50.0,131072,0.14000000059604645,1.5550834901124153,496,-5.786625559999999,264,,,,,,,,,,,,,,
-4.4549942,,,150000,,1.1748415698958563,,,,-0.025850138016721758,0.28923338651657104,0.9,-6.95,0.19147064766730182,0.2,0.20595550537109375,16,0.023535043001174927,0.0001,-5.661282148212194,0.9941806793212891,0.015694315,50.0
-4.5177525,5,50.0,163840,0.12999999523162842,1.0485016063444301,483,-4.70537178,338,,,,,,,,,,,,,,
-4.5134162,6,50.0,196608,0.30000001192092896,0.9543921766361877,486,-3.9676777099999994,404,-0.02586516366500291,0.46073704957962036,,,0.09462880629871506,0.2,0.2024993896484375,20,-0.03313949331641197,0.0001,-5.628193965181708,0.9847962856292725,0.015646037,
,,,200000,,,,,,-0.028130108874393045,0.5292857885360718,1.0,-3.2,0.059677502467820887,0.2,0.221435546875,24,-0.06234930455684662,0.0001,-5.592414129525423,0.9761562347412109,0.017313391,50.0
-3.4339883,7,50.0,229376,0.30000001192092896,0.6301479509512111,481,-3.4679914499999995,476,,,,,,,,,,,,,,
-2.8324728,,,250000,,0.2360174013990494,,,,-0.02420618977612321,0.5388389229774475,1.0,-2.2,0.03909812714118743,0.2,0.19145965576171875,28,-0.05585864931344986,0.0001,-5.553538245148957,0.9666719436645508,0.014804946,50.0
-2.9709345,8,50.0,262144,0.38999998569488525,0.26569090465924877,484,-3.0083650200000007,540,,,,,,,,,,,,,,
